#,Company,Symbol,Weight,Price,Change
339,MGM Resorts International,MGM,0.060138,   28.12,0.41 (1.46%)
340,Principal Financial Group Inc.,PFG,0.059427,   53.33,0.46 (0.87%)
341,Devon Energy Corporation,DVN,0.059201,   29.61,-0.04 (-0.13%)
342,D.R. Horton Inc.,DHI,0.059169,   41.38,0.54 (1.32%)
343,Darden Restaurants Inc.,DRI,0.058775,   111.24,-0.52 (-0.47%)
344,WellCare Health Plans Inc.,WCG,0.058536,   280.56,4.30 (1.55%)
345,AmerisourceBergen Corporation,ABC,0.058117,   85.86,0.19 (0.22%)
346,Textron Inc.,TXT,0.058081,   55.40,0.34 (0.62%)
347,Dover Corporation,DOV,0.057843,   92.58,0.25 (0.27%)
348,Lincoln National Corporation,LNC,0.057642,   63.83,1.02 (1.62%)
349,Celanese Corporation,CE,0.057354,   104.29,0.55 (0.53%)
350,Citrix Systems Inc.,CTXS,0.057149,   105.47,0.28 (0.27%)
351,Teleflex Incorporated,TFX,0.056841,   289.58,4.16 (1.46%)
352,Baker Hughes a GE Company Class A,BHGE,0.056768,   26.63,0.28 (1.06%)
353,Xylem Inc.,XYL,0.056754,   75.33,0.53 (0.71%)
354,Loews Corporation,L,0.056416,   48.39,0.60 (1.26%)
355,Equifax Inc.,EFX,0.056165,   111.38,0.62 (0.56%)
356,Expeditors International of Washington Inc.,EXPD,0.056008,   75.98,0.18 (0.24%)
357,Cincinnati Financial Corporation,CINF,0.055253,   86.54,0.42 (0.49%)
358,International Flavors & Fragrances Inc.,IFF,0.055036,   127.39,-0.84 (-0.66%)
359,SVB Financial Group,SIVB,0.054854,   250.36,4.54 (1.85%)
360,Wynn Resorts Limited,WYNN,0.054715,   131.31,-0.44 (-0.33%)
361,Gartner Inc.,IT,0.054545,   142.42,0.12 (0.08%)
362,CenturyLink Inc.,CTL,0.054170,   13.28,-0.16 (-1.19%)
363,Hologic Inc.,HOLX,0.054156,   47.18,0.22 (0.47%)
364,C.H. Robinson Worldwide Inc.,CHRW,0.054131,   91.52,-0.42 (-0.46%)
365,Apache Corporation,APA,0.053969,   33.44,-0.04 (-0.10%)
366,E*TRADE Financial Corporation,ETFC,0.053827,   49.46,0.57 (1.17%)
367,Fortinet Inc.,FTNT,0.052883,   87.34,0.55 (0.63%)
368,UDR Inc.,UDR,0.052681,   44.67,-0.21 (-0.47%)
369,NRG Energy Inc.,NRG,0.052276,   42.04,-0.19 (-0.44%)
370,Varian Medical Systems Inc.,VAR,0.052106,   133.66,0.64 (0.48%)
371,Seagate Technology PLC,STX,0.052066,   48.00,0.99 (2.11%)
372,Norwegian Cruise Line Holdings Ltd.,NCLH,0.051572,   55.98,0.63 (1.15%)
373,Extra Space Storage Inc.,EXR,0.050723,   92.46,-2.10 (-2.22%)
374,Eastman Chemical Company,EMN,0.050508,   84.35,-0.10 (-0.12%)
375,Advance Auto Parts Inc.,AAP,0.050479,   156.64,-4.83 (-2.99%)
376,Quest Diagnostics Incorporated,DGX,0.050313,   87.53,-0.27 (-0.31%)
377,Vornado Realty Trust,VNO,0.050275,   68.58,-0.31 (-0.45%)
378,Martin Marietta Materials Inc.,MLM,0.050270,   190.37,0.37 (0.19%)
379,Mid-America Apartment Communities Inc.,MAA,0.050136,   103.96,-0.54 (-0.52%)
380,FMC Corporation,FMC,0.049954,   89.51,1.00 (1.13%)
381,Copart Inc.,CPRT,0.049951,   58.95,0.66 (1.13%)
382,Atmos Energy Corporation,ATO,0.049893,   98.56,-0.92 (-0.92%)
383,Broadridge Financial Solutions Inc.,BR,0.049810,   100.05,-0.79 (-0.78%)
384,Universal Health Services Inc. Class B,UHS,0.049615,   136.31,0.27 (0.20%)
385,Hormel Foods Corporation,HRL,0.049462,   42.84,-0.08 (-0.17%)
386,Tractor Supply Company,TSCO,0.049445,   95.14,-0.90 (-0.94%)
